Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
ANATOMIA,NTAN1,Come vengono classificati i tessuti umani,Dermico connettivo muscolare nervoso,Epiteliale connettivo muscolare nervoso,Cardiaco striato liscio,,Epiteliale connettivo muscolare nervoso
ANATOMIA,NTAN2,Con il termine dermatomero si intende,Una patologia del derma,Il punto in cui il nervo esce dal segmento midollare,La zona di cute innervata da un nervo,,La zona di cute innervata da un nervo
ANATOMIA,NTAN3,Dove si trova l'osso denominato navicolare,Entrambe le risposte sono corrette,Piede,Polso,,Entrambe le risposte sono corrette
ANATOMIA,NTAN4,Durante la contrazione muscolare il meccanismo di scorrimento delle fibrocellule è dato da,Dello scorrimento dell'actina sulla miosina,Dello scorrimento della miosina sull'actina,L'accorciamento delle fibre di actina e miosina,,Dello scorrimento dell'actina sulla miosina
ANATOMIA,NTAN5,Gli enzimi che catalizzano le molecole dell'alcol,Si formano tra i 18 e 20 anni di età,Si formano durante l'adolescenza,Sono presenti fin dalla nascita,,Sono presenti fin dalla nascita
ANATOMIA,NTAN6,I muscoli che costituiscono la cuffia dei rotatori,Sovraspinato sottospinato sottoscapolare capo lungo del bicipite,Sovraspinato sottospinato sottoscapolare grande rotondo,Sovraspinato sottospinato sottoscapolare piccolo rotondo,,Sovraspinato sottospinato sottoscapolare piccolo rotondo
ANATOMIA,NTAN7,I vasi linfatici si trovano,Nella parte superficiale del derma,All'interno dei muscoli,Sulla superficie del muscolo,,Nella parte superficiale del derma
ANATOMIA,NTAN8,Il muscolo che permette di esercitare forza essenziale alla masticazione è,Stiloideo,Temporale,Massetere,,Massetere
ANATOMIA,NTAN9,Il muscolo principale che permette la flessione dorsale del piede,Peronieri,Gastrocnemio,Tibiale anteriore,,Tibiale anteriore
ANATOMIA,NTAN10,Il muscolo psoas,Flessore ed extrarotatore dell'anca,Estensore ed extrarotatore dell'anca,Flessore ed intrarotatore dell'anca,,Flessore ed extrarotatore dell'anca
ANATOMIA,NTAN11,Il ruolo del calcio nella contrazione umana,Si deposita sulla tropomiosina e permette la rotazione della troponina con l'esposizione dei siti attivi,Si deposita sulla troponina e permette tramite la rotazione della tropomiosina l'esposizione dei siti attivi,Permette la rottura dei ponti attivi tra miosina e actina,,Si deposita sulla troponina e permette tramite la rotazione della tropomiosina l'esposizione dei siti attivi
ANATOMIA,NTAN12,Il tessuto cartilagineo è costituito da cellule denominati,Dendritiche,Fibrociti,Condrociti,,Condrociti
ANATOMIA,NTAN13,L'articolazione gleno-omerale è,Sindesmosi,Enartrosi,Sincondrosi,,Enartrosi
ANATOMIA,NTAN14,L'articolazione sotto-astragalica permette,Prono-supinazione del piede,Entrambe le risposte sono corrette,Flesso estensione del piede,,Prono-supinazione del piede
ANATOMIA,NTAN15,La cellula nervosa è costituita da,Pirenoforo assone,Assone dendrite,Dendrite pirenoforo neurite,,Dendrite pirenoforo neurite
ANATOMIA,NTAN16,Le cellule del pancreas sono per il 99% di tipo,Entrambe le risposte sono sbagliate,Endocrino,Esocrino,,Esocrino
ANATOMIA,NTAN17,Principale flessore dell'anca,Iliaco,Retto del femore,Psoas,,Psoas
ANATOMIA,NTAN18,Quale direzione ha il sistema di ritorno venoso,Centripeta,Entrambe le risposte sono corrette,Eccentrica,,Centripeta
ANATOMIA,NTAN19,Quale muscolo gioca un ruolo primario nella respirazione,Intercostali,Scaleni,Diaframma,,Diaframma
ANATOMIA,NTAN20,Quale neurotrasmettitore è fondamentale per le sinapsi cerebrali,Melatonina,Serotonina,Noradrenalina,,Serotonina
ANATOMIA,NTAN21,Quale sostanza viene assorbita esclusivamente nello stomaco,Vitamina B12,Lipidi,Acqua,,Vitamina B12
ANATOMIA,NTAN22,Quali ormoni regolano i livelli di calcio ematico,Cortisolo e insulina,Clacitonina e adrenalina,Partaormone e calcitonina,,Partaormone e calcitonina
ANATOMIA,NTAN23,Quali sono gli ormoni che regolano gli zuccheri nel sangue,Insulina e somatostatina,Insulina e paratormone,Insulina e glucagone,,Insulina e glucagone
ANATOMIA,NTAN24,Quante sono le ossa che costituiscono il piede,23,26,29,,26
ANATOMIA,NTAN25,Se ho il piccolo pettorale in ipertono stiamo parlando di quale catena cinetica,Anteriore,Posteriore,Centrale,,Anteriore
BIORISONANZA ED EPIGENETICA,NTBI1,Campo elettrico,È un campo di forze generato nello spazio,È un campo di forze generato nello spazio dalla presenza di cariche elettriche,È un campo forte tensione,Tutte le risposte sono corrette,È un campo di forze generato nello spazio dalla presenza di cariche elettriche
BIORISONANZA ED EPIGENETICA,NTBI2,Caratteristiche delle cellule e dei tessuti,Generano il loro campo elettromagnetico controllando e guidando reazioni metaboliche,Comunicano con il mondo esterno fornendo informazioni utili per una serie di diagnosi e interagiscono con energie elettromagnetiche esterne che possono essere sia curative che dannose,Hanno una natura elettromagnetica comunicano tra loro scambiando informazioni con segnali elettrici e fotonici,Tutte le risposte sono corrette,Tutte le risposte sono corrette
BIORISONANZA ED EPIGENETICA,NTBI3,Com'è regolata l'epigenetica?,RNA non codificanti,Tutte le risposte sono corrette,Modifiche della cromatina,Metilazione del DNA,Tutte le risposte sono corrette
BIORISONANZA ED EPIGENETICA,NTBI4,Cos'è l'atomo,Nessuna risposta è corretta,È la parte fondamentale degli elementi in natura,È la più piccola parte di ogni elemento esistente in natura che ne conserva le caratteristiche chimico-fisiche,È più piccola parte di una molecola,È la più piccola parte di ogni elemento esistente in natura che ne conserva le caratteristiche chimico-fisiche
BIORISONANZA ED EPIGENETICA,NTBI5,Cos'è un campo elettromagnetico?,Tutte le risposte sono corrette,Un campo elettrico generato da cariche elettriche,Una combinazione di campo elettrico e magnetico,Un campo magnetico generato da cariche elettriche in movimento,Una combinazione di campo elettrico e magnetico
